भाषित,नपुं।,वचनम्,,,गुणः,शब्दः,,,,,"व्याहार,उक्ति,लपित,भाषित,वचन,वचस्,गो,इडा,इला,इरा",,"शपथः,द्विरुक्तिः,अप्रियवचः,भयदर्शकवाक्यम्,सनिन्दाभाषणम्,परस्त्रीनिमित्तं_पुंसः_परपुरुषनिमित्तं_स्त्रियाश्च_आक्रोशनम्,सम्भाषणम्,प्रयोजनशून्योन्मत्तादिवचनम्,बहुभाषणम्,अनुशोचनोक्तिः,अन्योन्यविरुद्धवचनम्,परस्परभाषणम्,शोभनवचनम्,गोपनकारिवचनम्,शापवचनम्,प्रेम्णा_मिथ्याभाषणम्,सन्देशवचनम्,अकल्याणवचनम्,शुभवचनम्,सान्त्वनवचनम्,युक्त्यामिलितवचनम्,कर्कशवचनम्,अश्लीलवचनम्,प्रियसत्यवचनम्,विरुद्धार्थवचनम्,अशक्त्यादिना_सम्पूर्णोच्चारितम्,शीघ्रोच्चारितवचः,श्लेष्मनिर्गमसहितवचनम्,निन्दावचनम्,मिथ्यावचनम्,स्पष्टवचनम्,अप्रकटवचनम्,असत्यवचनम्,सत्यवचनम्,अवध्यब्राह्मणादेर्दोषोक्तिः,पटुवचनम्,साकल्यवचनम्,आसङ्गवचनम्,आक्रोशनम्,जनवादः,वल्गुवाक्"
वचन,नपुं।,वचनम्,,,गुणः,शब्दः,,,,,"व्याहार,उक्ति,लपित,भाषित,वचन,वचस्,गो,इडा,इला,इरा",,"शपथः,द्विरुक्तिः,अप्रियवचः,भयदर्शकवाक्यम्,सनिन्दाभाषणम्,परस्त्रीनिमित्तं_पुंसः_परपुरुषनिमित्तं_स्त्रियाश्च_आक्रोशनम्,सम्भाषणम्,प्रयोजनशून्योन्मत्तादिवचनम्,बहुभाषणम्,अनुशोचनोक्तिः,अन्योन्यविरुद्धवचनम्,परस्परभाषणम्,शोभनवचनम्,गोपनकारिवचनम्,शापवचनम्,प्रेम्णा_मिथ्याभाषणम्,सन्देशवचनम्,अकल्याणवचनम्,शुभवचनम्,सान्त्वनवचनम्,युक्त्यामिलितवचनम्,कर्कशवचनम्,अश्लीलवचनम्,प्रियसत्यवचनम्,विरुद्धार्थवचनम्,अशक्त्यादिना_सम्पूर्णोच्चारितम्,शीघ्रोच्चारितवचः,श्लेष्मनिर्गमसहितवचनम्,निन्दावचनम्,मिथ्यावचनम्,स्पष्टवचनम्,अप्रकटवचनम्,असत्यवचनम्,सत्यवचनम्,अवध्यब्राह्मणादेर्दोषोक्तिः,पटुवचनम्,साकल्यवचनम्,आसङ्गवचनम्,आक्रोशनम्,जनवादः,वल्गुवाक्"
वचस्,नपुं।,वचनम्,,,गुणः,शब्दः,,,,,"व्याहार,उक्ति,लपित,भाषित,वचन,वचस्,गो,इडा,इला,इरा",,"शपथः,द्विरुक्तिः,अप्रियवचः,भयदर्शकवाक्यम्,सनिन्दाभाषणम्,परस्त्रीनिमित्तं_पुंसः_परपुरुषनिमित्तं_स्त्रियाश्च_आक्रोशनम्,सम्भाषणम्,प्रयोजनशून्योन्मत्तादिवचनम्,बहुभाषणम्,अनुशोचनोक्तिः,अन्योन्यविरुद्धवचनम्,परस्परभाषणम्,शोभनवचनम्,गोपनकारिवचनम्,शापवचनम्,प्रेम्णा_मिथ्याभाषणम्,सन्देशवचनम्,अकल्याणवचनम्,शुभवचनम्,सान्त्वनवचनम्,युक्त्यामिलितवचनम्,कर्कशवचनम्,अश्लीलवचनम्,प्रियसत्यवचनम्,विरुद्धार्थवचनम्,अशक्त्यादिना_सम्पूर्णोच्चारितम्,शीघ्रोच्चारितवचः,श्लेष्मनिर्गमसहितवचनम्,निन्दावचनम्,मिथ्यावचनम्,स्पष्टवचनम्,अप्रकटवचनम्,असत्यवचनम्,सत्यवचनम्,अवध्यब्राह्मणादेर्दोषोक्तिः,पटुवचनम्,साकल्यवचनम्,आसङ्गवचनम्,आक्रोशनम्,जनवादः,वल्गुवाक्"
अपभ्रंश,पुं।,अपशब्दः,,,गुणः,शब्दः,,,,,"अपभ्रंश,अपशब्द",,
अपशब्द,पुं।,अपशब्दः,,,गुणः,शब्दः,,,,,"अपभ्रंश,अपशब्द",,
शब्द,पुं।,व्याकरणादिशास्त्रवाचकः,,,पौरुषेयः,,,,,,शब्द,,
वाक्य,नपुं।,तिङ्सुबन्तचयः_कारकान्विता_क्रिया,,,पौरुषेयः,,,,,,वाक्य,,
श्रुति,स्त्री।,वेदः,,,अपौरुषेयः,,,,,,"श्रुति,वेद,आम्नाय,त्रयी,श्रुति,निगम",वेदाङ्गम्,"ऋग्वेदः,सामवेदः,यजुर्वेदः,ऋग्यजुस्साम-वेदाः,वेदः,आगमः,वेदभेदः"
वेद,पुं।,वेदः,,,अपौरुषेयः,,,,,,"श्रुति,वेद,आम्नाय,त्रयी,श्रुति,निगम",वेदाङ्गम्,"ऋग्वेदः,सामवेदः,यजुर्वेदः,ऋग्यजुस्साम-वेदाः,वेदः,आगमः,वेदभेदः"
आम्नाय,पुं।,वेदः,,,अपौरुषेयः,,,,,,"श्रुति,वेद,आम्नाय,त्रयी,श्रुति,निगम",वेदाङ्गम्,"ऋग्वेदः,सामवेदः,यजुर्वेदः,ऋग्यजुस्साम-वेदाः,वेदः,आगमः,वेदभेदः"
त्रयी,स्त्री।,वेदः,,,अपौरुषेयः,,,,,,"श्रुति,वेद,आम्नाय,त्रयी,श्रुति,निगम",वेदाङ्गम्,"ऋग्वेदः,सामवेदः,यजुर्वेदः,ऋग्यजुस्साम-वेदाः,वेदः,आगमः,वेदभेदः"
धर्म,पुं।,वेदविहितकर्माः,,,क्रिया,,,,,,धर्म,,
ऋच्,स्त्री।,ऋग्वेदः,,,अपौरुषेयः,,,,,,ऋच्,,
सामन्,नपुं।,सामवेदः,,,अपौरुषेयः,,,,,,सामन्,,
यजुस्,नपुं।,यजुर्वेदः,,,अपौरुषेयः,,,,,,यजुस्,,
त्रयी,स्त्री।,ऋग्यजुस्साम-वेदाः,,,अपौरुषेयः,,,,,,त्रयी,,
शिक्षा,स्त्री।,वेदाङ्गम्,,,पौरुषेयः,,,,,,शिक्षा,वेदः,
ओङ्कार,पुं।,ओंकारः,,,पौरुषेयः,,,,,,"ओङ्कार,प्रणव",,
प्रणव,पुं।,ओंकारः,,,पौरुषेयः,,,,,,"ओङ्कार,प्रणव",,
