शब्दः,लिङ्गम्,अर्थः,प्रसिद्धिः,उपाधिभेदः,जातिभेदः १,जातिभेदः २,जातिभेदः ३,जातिभेदः ४,जातिभेदः ५,जातिभेदः ६,समानाः,संबन्धिनः,अपराजातिः।
अमरावती,स्त्री।,इन्द्रपुरः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,अमरावती,"इन्द्रः,इन्द्रः",
उच्चैःश्रवस्,पुं।,इन्द्राश्वः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्येतरः,अलौकिकप्राणी,,उच्चैःश्रवस्,"इन्द्रः,इन्द्रः",
मातलि,पुं।,इन्द्रसारथिः,,,द्रव्यम्,पृथ्वी,चलसजीवः,अलौकिकचेतनः,,,मातलि,"इन्द्रः,इन्द्रः",
नन्दन,नपुं।,इन्द्रवनम्,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,नन्दन,"इन्द्रः,इन्द्रः",
वैजयन्त,पुं।,इन्द्रगृहम्,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,वैजयन्त,"इन्द्रः,इन्द्रः",
जयन्त,पुं।,जयन्तः,,,द्रव्यम्,पृथ्वी,चलसजीवः,अलौकिकचेतनः,,,"जयन्त,पाकशासनि",इन्द्रः,
पाकशासनि,पुं।,जयन्तः,,,द्रव्यम्,पृथ्वी,चलसजीवः,अलौकिकचेतनः,,,"जयन्त,पाकशासनि",इन्द्रः,
ऐरावत,पुं।,इन्द्रहस्तिः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्येतरः,अलौकिकप्राणी,,"ऐरावत,अभ्रमातङ्ग,ऐरावण,अभ्रमुवल्लभ","इन्द्रः,इन्द्रः",
अभ्रमातङ्ग,पुं।,इन्द्रहस्तिः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्येतरः,अलौकिकप्राणी,,"ऐरावत,अभ्रमातङ्ग,ऐरावण,अभ्रमुवल्लभ","इन्द्रः,इन्द्रः",
ऐरावण,पुं।,इन्द्रहस्तिः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्येतरः,अलौकिकप्राणी,,"ऐरावत,अभ्रमातङ्ग,ऐरावण,अभ्रमुवल्लभ","इन्द्रः,इन्द्रः",
