उदक्,अव्य।,उत्तरदिक्,,,द्रव्यम्,दिक्,,,,,"उदीची,उदक्,उत्तर","उत्तरदिशि_भवम्,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः,उत्तरदिशायाः_स्वामी,उत्तरदिशि_भवम्,उत्तरदिशायाः_स्वामी,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः,उत्तरदिशि_भवम्",
प्रत्यग्,अव्य।,पश्चिमदिक्,,,द्रव्यम्,दिक्,,,,,"प्रतीची,प्रत्यग्,पश्चात्","पश्चिमदिशि_भवम्,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः,पश्चिमदिशायाः_स्वामी,पश्चिमदिशि_भवम्,पश्चिमदिशायाः_स्वामी,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः,पश्चिमदिशि_भवम्",
प्रतीचीन,वि।,पश्चिमदिशि_भवम्,,,द्रव्यम्,,,,,,प्रतीचीन,"पश्चिमदिक्,पश्चिमदिक्",
प्राचीन,नपुं।,पूर्वदिशि_भवम्,,,द्रव्यम्,,,,,,प्राचीन,"पूर्वदिक्,पूर्वदिक्",
प्राक्,अव्य।,पूर्वदिक्,,,द्रव्यम्,दिक्,,,,,"प्राची,प्राक्,पूर्व,अनुत्तर,पुरस्तात्","पूर्वदिशि_भवम्,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः,पूर्वदिशायाः_स्वामी,पूर्वदिशि_भवम्,पूर्वदिशायाः_स्वामी,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः,पूर्वदिशि_भवम्",
इन्द्र,पुं।,पूर्वदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,इन्द्र,"पूर्वदिक्,पूर्वदिक्,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः",
वह्नि,पुं।,आग्नेयदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,वह्नि,"आग्नेयदिशायाः_ग्रहः,आग्नेयदिग्गजः",
पितृपति,पुं।,दक्षिणदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,पितृपति,"दक्षिणदिक्,दक्षिणदिक्,दक्षिणदिशायाः_ग्रहः,दक्षिणदिग्गजः",
नैरृत,पुं।,नैरृत्यदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,नैरृत,"नैऋतदिशायाः_ग्रहः,नैरृतदिग्गजः",
वरुण,पुं।,पश्चिमदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,वरुण,"पश्चिमदिक्,पश्चिमदिक्,पश्चिमदिशायाः_ग्रहः,पश्चिमदिग्गजः",
मरुत्,पुं।,वायव्यदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,मरुत्,"वायव्यदिशायाः_ग्रहः,वायव्यदिग्गजः",
कुबेर,पुं।,उत्तरदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,कुबेर,"उत्तरदिक्,उत्तरदिक्,उत्तरदिशायाः_ग्रहः,उत्तरदिग्गजः",
ईश,पुं।,ईशानदिशायाः_स्वामी,,,द्रव्यम्,आत्मा,देवता,,,,ईश,"ईशानदिशायाः_ग्रहः,ईशानदिग्गजः",
पूर्व,पुं।,पूर्वदिक्,,,द्रव्यम्,दिक्,,,,,"प्राची,प्राक्,पूर्व,अनुत्तर,पुरस्तात्","पूर्वदिशि_भवम्,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः,पूर्वदिशायाः_स्वामी,पूर्वदिशि_भवम्,पूर्वदिशायाः_स्वामी,पूर्वदिशायाः_ग्रहः,पूर्वदिग्गजः,पूर्वदिशि_भवम्",
रवि,पुं।,पूर्वदिशायाः_ग्रहः,,,द्रव्यम्,तेजः,ग्रहः,,,,रवि,"पूर्वदिशायाः_स्वामी,पूर्वदिक्",
शुक्र,पुं।,आग्नेयदिशायाः_ग्रहः,,,द्रव्यम्,तेजः,ग्रहः,,,,शुक्र,आग्नेयदिशायाः_स्वामी,
महीसूनु,पुं।,दक्षिणदिशायाः_ग्रहः,,,द्रव्यम्,तेजः,ग्रहः,,,,महीसूनु,"दक्षिणदिशायाः_स्वामी,दक्षिणदिक्",
