नाम,अक्षराणि,विषमे-स्वराः,विषमयोर् मात्राः,समे-सङ्ख्या,समयोर् मात्राः,प्रसिद्धिः,पादयोः साम्यम्,जातिः,जातिः २,उदाहरणम्,मुख्यांशः
वैसारी,38,9,दा दा द द दा द दा द दा,10,दा दा दा द द दा द दा द दा,,,,,,
वासववन्दिता,38,10,दा दा दा द द दा द दा द दा,9,दा दा द द दा द दा द दा,,,,,,
अतैलम्,40,10,द दा द दा दा द दा दा द दा,10,दा दा द दा दा द दा दा द दा,,,,,,
आलोलघटिका,40,10,द द दा द द दा द दा द दा,10,दा दा द द द दा द दा द दा,,,,,,
घटिका,40,10,दा दा द द द दा द दा द दा,10,द द दा द द दा द दा द दा,,,,,,
प्रभासिता,40,10,दा दा दा द द दा द दा द दा,10,द द दा द द दा द दा द दा,,,,,,
प्रभासिता,40,10,द द दा द द दा द दा द दा,10,दा दा दा द द दा द दा द दा,,,,,,
विश्वप्रमा,40,10,दा दा द दा दा द दा दा द दा,10,द दा द दा दा द दा दा द दा,,,,,,
करधा,42,10,दा दा दा द द दा द दा द दा,11,द द द द द द दा द दा द दा,,,,,,
केतुमती,42,10,द द दा द दा द द द दा दा,11,दा द द दा द दा द द द दा दा,,,,,,
भद्रविराट्,42,10,दा दा द द दा द दा द दा दा,11,दा दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
वेगवती,42,10,द द दा द द दा द द दा दा,11,दा द द दा द द दा द द दा दा,,,,,,
समुद्रकान्ता,42,10,दा दा द द दा द दा द दा दा,11,दा दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
सुधा,42,10,दा दा दा द द दा द दा द दा,11,द द दा दा द द दा द दा द दा,,,,,,
"वियोगिनी/ सुन्दरी
[वैतालीयम्]",42,10,द द दा द द दा द दा द दा,11,द द दा दा द द दा द दा द दा,५,,इक्षतां मात्राछन्दस्सु वैतालीयम्।,,"sahasā vidadhīta na kriyām 
avivekaḥ param āpadāṃ padam /
vṛṇate hi vimṛśyakāriṇo
guṇalabdhāḥ svayam eva sampadaḥ ",
असुधा,42,11,द द दा दा द द दा द दा द दा,10,दा दा दा द द दा द दा द दा,,,,,,
कान्ता,42,11,दा दा दा द द दा द दा द दा दा,10,दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
केतुः,42,11,दा द द दा द दा द द द दा दा,10,द द दा द दा द द द दा दा,,,,,,
युद्धविराट्,42,11,दा दा दा द द दा द दा द दा दा,10,दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
वर्गवती,42,11,दा द द दा द द दा द द दा दा,10,द द दा द द दा द द दा दा,,,,,,
वैयाली,42,11,द द द द द द दा द दा द दा,10,दा दा दा द द दा द दा द दा,,,,,,
सुन्दरी,42,11,द द दा दा द द दा द दा द दा,10,द द दा द द दा द दा द दा,,,,,,
अरुन्तुदः,44,10,द द दा द द दा द दा द दा,12,द द द द दा द द दा द दा द दा,,,,,,
नवनीलता,44,10,द द दा द द दा द दा द दा,12,द द दा दा द द द दा द दा द दा,,,,,,
संपातशीला,44,10,दा दा द दा दा दा दा द दा दा,12,द द दा द द द दा दा दा द दा दा,,,,,,
अयवती,44,11,द द दा दा दा दा द द द द दा,11,दा दा द द द द दा दा द द दा,,,,,,
अवहित्रा,44,11,दा द द दा द द दा द द दा दा,11,द द दा द द दा द द दा द द,,,,,,
आख्यानकी,44,11,दा दा द दा दा द द दा द दा दा,11,द दा द दा दा द द दा द दा दा,,,,,,
उपचित्रा,44,11,द द दा द द दा द द दा द द,11,दा द द दा द द दा द द दा दा,,,,,,
औपगवम्,44,11,द द द दा द दा दा द दा द दा,11,दा द द दा द दा दा द दा द दा,,,,,,
औपगवीतम्,44,11,दा द द दा द दा दा द दा द दा,11,द द द दा द दा दा द दा द दा,,,,,,
करभोद्धता,44,11,दा द द दा दा द दा द दा द दा,11,द द दा द द द दा द दा द दा,,,,,,
कर्णिनी,44,11,दा द दा द द द दा द द दा दा,11,दा द दा द द द दा द दा द दा,,,,,,
भद्रा,44,11,दा दा द दा दा द द दा द दा दा,11,द दा द दा दा द द दा द दा दा,,,,,,
विपरीताख्यानकी,44,11,द दा द दा दा द द दा द दा दा,11,दा दा द दा दा द द दा द दा दा,,,,,,
शालभञ्जिका,44,11,द द दा द द द दा द दा द दा,11,दा द द दा दा द दा द दा द दा,,,,,,
समयवती,44,11,दा दा द द द द दा दा द द दा,11,द द दा दा दा दा द द द द दा,,,,,,
सारिका,44,11,दा द दा द द द दा द दा द दा,11,दा द दा द द द दा द द दा दा,,,,,,
हंसी,44,11,द दा द दा दा द द दा द दा दा,11,दा दा द दा दा द द दा द दा दा,,,,,,
अनूपकम्,44,12,द द द द दा द द दा द दा द दा,10,द द दा द द दा द दा द दा,,,,,,
करीरिता,44,12,द द दा दा द द द दा द दा द दा,10,द द दा द द दा द दा द दा,,,,,,
पातशीला,44,12,द द दा द द द दा दा दा द दा दा,10,दा दा द दा दा दा दा द दा दा,,,,,,
जारिणी,46,10,द द द दा दा द दा दा द दा,13,दा द दा दा द दा द द द दा दा द दा,,,,,,
शुकावली,46,10,दा दा द द दा द दा द दा दा,13,दा दा दा द द द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
अपरवक्त्रम्,46,11,द द द द द द दा द दा द दा,12,द द द द दा द द दा द दा द दा,,,,,,
असुराढ्या,46,11,दा दा दा द द दा द दा द दा दा,12,द द द द द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
उपाढ्यम्,46,11,द द द द द दा द दा द दा दा,12,दा द द दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
उपोद्गता,46,11,द द दा द द दा द दा द दा दा,12,द द दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
कमलाकरा,46,11,दा द द दा द द दा द द दा दा,12,दा द द द द द द दा द द दा दा,,,,,,
किन्नटकः,46,11,दा दा द द दा द द दा द द दा,12,द द दा द द दा द द दा द द दा,,,,,,
किलिकिता,46,11,दा द दा द द द दा द दा द दा,12,द द द दा द द द दा द दा द दा,,,,,,
कोरकिता,46,11,दा द द दा द द दा द द दा दा,12,द द द द दा दा द द द द दा दा,,,,,,
द्रुतमध्या,46,11,दा द द दा द द दा द द दा दा,12,द द द द दा द द दा द द दा दा,,,,,,
"वसन्तमालिका
मालभरणी",46,11,द द दा द द दा द दा द दा दा,12,द द दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,वसन्तमालिका-पादौ,"इक्षतां मात्राछन्दस्सु औपछन्दसिकम्।
शोके।","मधुरोपवनं निरीक्ष्य दूये
बहुशः खण्डित-नालिकेर-षण्डम् ।
परितो नृ-करोटि-कोटि-हार-
प्रचलत्-शूल-परम्परा-परीतम् ",
विमानिनी,46,11,द द दा दा द द दा द दा द दा,12,दा दा दा द द द द दा द दा द दा,,,,,,
शिशिरशिखा,46,11,द द द द द द दा द दा द दा,12,द द द द दा द द दा द दा द दा,,,,,,
साचीकृतवदना,46,11,द द द द दा दा दा द द दा दा,12,दा दा द द द द दा द द द द दा,,,,,,
हरिणीप्लुता,46,11,द द दा द द दा द द दा द दा,12,द द द दा द द दा द द दा द दा,,,,,,
हरिलुप्ता,46,11,द द दा द द दा द द दा द दा,12,द द दा दा द द दा द द दा द दा,,,,,,
अकुसुमचरम्,46,12,दा द द द द द द दा द द दा दा,11,दा द द दा द द दा द द दा दा,,,,,,
अवाचीकृतवदना,46,12,दा दा द द द द दा द द द द दा,11,द द द द दा दा दा द द दा दा,,,,,,
ईहा,46,12,द द द द दा द द दा द द दा दा,11,दा द द दा द द दा द द दा दा,,,,,,
उपाढ्यम्,46,12,दा द द दा द द दा द दा द दा दा,11,द द द द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
उपोद्गता,46,12,द द दा दा द द दा द दा द दा दा,11,द द दा द द दा द दा द दा दा,,द द दा द दा द दा दा,वसन्तमालिका-पादौ,"इक्षतां मात्राछन्दस्सु औपछन्दसिकम्।
शोके।",,
किलिकिता,46,12,द द द दा द द द दा द दा द दा,11,दा द दा द द द दा द दा द दा,,,,,,
नटकः,46,12,द द दा द द दा द द दा द द दा,11,दा दा द द दा द द दा द द दा,,,,,,
परवक्त्रम्,46,12,द द द द दा द द दा द दा द दा,11,द द द द द द दा द दा द दा,,,,,,
पाटलिका,46,12,द द द द दा दा द द द द दा दा,11,दा द द दा द द दा द द दा दा,,,,,,
प्रमालिका,46,12,द द दा दा द द दा द दा द दा दा,11,द द दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
मृदुमालती,46,12,द द द द दा द द दा द दा द दा,11,द द द द द द दा द दा द दा,,,,,,
लुप्ता,46,12,द द दा दा द द दा द द दा द दा,11,द द दा द द दा द द दा द दा,,,,,,
विमानिनी,46,12,दा दा दा द द द द दा द दा द दा,11,द द दा दा द द दा द दा द दा,,,,,,
सुराढ्या,46,12,द द द द द द दा द दा द दा दा,11,दा दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
हरिणीप्लुता,46,12,द द द दा द द दा द द दा द दा,11,द द दा द द दा द द दा द दा,,,,,,
अलिपदम्,46,13,दा द दा दा द दा द द द दा दा द दा,10,द द द दा दा द दा दा द दा,,,,,,
किंशुकावली,46,13,दा दा दा द द द द दा द दा द दा दा,10,दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
विलासवापी,48,10,दा दा द द दा द दा द दा दा,14,द द दा दा द द दा द दा द दा द दा दा,,,,,,
बद्धा,48,11,दा दा दा दा द द द द द द दा,13,द द दा द द दा द द द द द द दा,,,,,,
अर्भकपङ्क्तिः,48,12,द द दा दा द द दा द दा द दा दा,12,दा द द दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
उपमेया,48,12,द दा द दा दा द द दा द दा द दा,12,दा दा द दा दा द द दा द दा द दा,,,,,,
उपसरसीकम्,48,12,द द दा दा द द द दा द द दा दा,12,दा दा द दा द द द दा द द दा दा,,,,,,
उलपोहा,48,12,दा द द दा द द दा द दा द दा दा,12,द द दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
वियद्वाणी,48,12,द द दा दा द द दा द दा द दा दा,12,दा दा दा द द दा द दा द दा दा दा,,द द दा द दा द दा दा,,,,
वियद्वाणी,48,12,दा दा दा द द दा द दा द दा दा दा,12,द द दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
